depression_weight,suicidal_weight,val_macro_f1
1.5,0.95,0.8159682087350204
1.0,0.8,0.8159305270871026
1.0,1.05,0.8158581836016815
1.15,0.85,0.8158318721894323
1.35,0.9,0.8157597296814262
1.4,1.7,0.8157177827875521
0.85,0.8,0.8157149651408788
0.95,0.95,0.8157032727027393
1.3,1.55,0.8156795484108301
1.35,1.6,0.8156768149397096
1.4,1.65,0.8156309042229862
0.9,0.9,0.815629078417309
1.1,0.8,0.8155816654212233
0.8,0.7,0.8155747372866056
1.35,0.85,0.815513960597307
1.65,1.05,0.8155139418372354
1.15,0.8,0.8154692517025366
1.45,0.95,0.815445614178313
0.8,0.75,0.815416341742765
1.35,1.65,0.8153824266930048
0.75,0.7,0.8153762079260477
1.25,0.85,0.815373230702505
1.5,1.0,0.8153333180937307
1.0,1.1,0.8153151943804116
1.7,1.15,0.8153151790041736
1.4,1.6,0.8153061729166349
1.25,1.4,0.8153053374203747
1.45,1.65,0.815297892468387
0.95,0.7,0.8152891395686508
0.85,0.85,0.8152837776236476
0.95,1.0,0.8152699690614665
1.45,1.7,0.8152172402853382
1.5,1.7,0.8152125742446139
0.85,0.9,0.8151652027793613
0.9,0.95,0.8151060265977966
1.65,1.1,0.8150865224472671
1.35,1.7,0.8150723737216341
1.6,1.05,0.8150139557644163
1.45,0.9,0.8150004405652196
1.55,1.0,0.8149922014737617
1.3,1.5,0.8149425555357113
1.25,1.5,0.8148942228336314
1.35,1.55,0.8148303541312232
1.05,1.25,0.8147917380805777
1.6,1.0,0.8147655576006998
1.3,1.6,0.8147311429453488
1.3,0.85,0.8147170084070225
1.4,0.85,0.8146848364461912
1.2,1.35,0.8146777578251128
0.75,0.75,0.8146392410383169
1.3,1.65,0.8146241082273504
1.1,0.75,0.8145554770207986
0.95,1.05,0.8145353774338754
1.3,1.7,0.8145089876614537
1.15,1.3,0.8144253549109344
1.25,1.45,0.8143967543905795
1.7,1.1,0.8143785882302507
1.2,1.45,0.8142570572897152
1.25,1.6,0.8142493170802225
1.1,1.25,0.8141931037398222
1.55,0.95,0.8141315264486797
1.25,0.8,0.8141129631504169
1.05,1.35,0.814079404834354
0.8,0.8,0.8140514750010219
1.2,1.4,0.8140196940327937
1.0,1.2,0.814009217228942
1.3,0.8,0.8140054170359179
1.1,1.4,0.813994312000506
1.35,0.8,0.813912720842007
1.15,1.35,0.8139065444504942
1.5,0.9,0.813885443145476
1.1,1.3,0.8138666155585315
0.9,1.0,0.8138566519916313
1.05,1.3,0.8138335354196815
1.45,0.85,0.8138292373187088
1.65,0.9,0.8138264172437089
1.25,1.55,0.8138207299474985
1.15,1.4,0.813799198213371
1.1,0.7,0.8137869338232855
1.05,1.2,0.8137369660407305
1.4,0.75,0.8137365180491997
1.2,1.5,0.813732070708467
1.1,1.35,0.8137018681110663
1.6,0.95,0.813701353473619
0.8,0.85,0.8137000799605649
1.05,0.7,0.8136495878663124
1.65,1.0,0.8136330341895032
1.15,1.45,0.8136100444666357
1.65,0.95,0.8135922561408261
1.3,0.7,0.8135691685670478
1.7,1.05,0.8135583364075013
1.35,0.75,0.8135334946258677
1.3,0.75,0.8134565514178664
1.0,1.25,0.813443802644445
1.15,0.75,0.8133929284213396
0.7,0.7,0.8133839918204201
1.6,0.9,0.8133831396091948
1.25,1.65,0.8133571957490392
1.2,0.8,0.8133026006720743
1.15,1.5,0.8132946276263641
1.0,1.3,0.8132888973977934
1.4,0.8,0.8132857413219631
1.2,0.75,0.8132853889513726
1.2,1.55,0.8132650550699404
0.75,0.8,0.8132227984435472
0.95,1.15,0.8132159579205502
1.45,0.8,0.8131942435038635
1.55,0.85,0.8131829967066068
1.1,1.45,0.8130656098541159
0.85,0.95,0.8130471198737395
1.55,0.9,0.8130380172748531
0.9,1.15,0.8129760138223412
1.0,1.15,0.8129503282985079
1.5,0.85,0.8129222744349038
0.95,1.2,0.8128560865676954
1.7,1.0,0.8128264864804586
0.9,1.1,0.8128145918580078
1.15,0.7,0.8127779437186018
1.7,0.95,0.8127444639992356
0.7,0.75,0.8127205967099964
1.5,0.8,0.8127126584154869
1.05,1.45,0.812689518932396
1.25,1.7,0.812653326185069
0.95,1.1,0.8126523380383092
